age,sex,marital_status,grouped_education,likely_to_vote,interest_in_politics,vote_choice
25 to 34 years,Female,Others,University degree,2,Not at all interested,0
65 to 74 years,Female,Others,Graduated from High School,1,Somewhat interested,1
65 to 74 years,Male,Married,University degree,1,Somewhat interested,0
65 to 74 years,Male,Married,University degree,1,Very interested,1
25 to 34 years,Female,Others,University degree,1,Somewhat interested,1
65 to 74 years,Female,Others,Post-secondary diploma,1,Not very interested,1
55 to 64 years,Female,Others,University degree,1,Somewhat interested,0
75 years and over,Male,Married,Post-secondary diploma,1,Very interested,0
35 to 44 years,Male,Married,Post-secondary diploma,1,Somewhat interested,0
15 to 24 years,Female,Others,Post-secondary diploma,3,Not very interested,0
25 to 34 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Male,Others,University degree,1,Very interested,0
75 years and over,Male,Married,University degree,1,Somewhat interested,0
45 to 54 years,Female,Married,University degree,2,Not very interested,0
65 to 74 years,Female,Married,Post-secondary diploma,1,Somewhat interested,1
65 to 74 years,Male,Married,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Male,Married,University degree,1,Somewhat interested,1
35 to 44 years,Male,Others,University degree,1,Somewhat interested,1
55 to 64 years,Male,Others,Graduated from High School,1,Somewhat interested,1
15 to 24 years,Female,Others,Post-secondary diploma,2,Not at all interested,0
45 to 54 years,Female,Married,University degree,3,Not at all interested,0
65 to 74 years,Female,Married,University degree,1,Not very interested,0
35 to 44 years,Female,Married,Graduated from High School,1,Somewhat interested,0
15 to 24 years,Male,Others,Less than High School,3,Somewhat interested,0
55 to 64 years,Male,Others,Post-secondary diploma,1,Very interested,1
55 to 64 years,Male,Others,Graduated from High School,1,Somewhat interested,0
55 to 64 years,Female,Married,Less than High School,1,Somewhat interested,0
35 to 44 years,Female,Others,Graduated from High School,1,Somewhat interested,0
75 years and over,Male,Married,University degree,1,Very interested,1
35 to 44 years,Male,Others,Post-secondary diploma,1,Somewhat interested,1
55 to 64 years,Female,Others,Graduated from High School,1,Very interested,0
45 to 54 years,Female,Others,Graduated from High School,1,Somewhat interested,0
55 to 64 years,Female,Others,Graduated from High School,3,Not at all interested,0
75 years and over,Male,Married,Less than High School,1,Somewhat interested,0
45 to 54 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Male,Others,University degree,2,Very interested,0
75 years and over,Male,Others,University degree,1,Very interested,0
15 to 24 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Male,Married,Post-secondary diploma,3,Very interested,0
65 to 74 years,Male,Married,Less than High School,1,Not very interested,0
35 to 44 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Female,Married,University degree,1,Not at all interested,0
45 to 54 years,Male,Married,Post-secondary diploma,1,Somewhat interested,1
45 to 54 years,Female,Married,University degree,1,Not very interested,0
55 to 64 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
35 to 44 years,Male,Others,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Male,Others,Graduated from High School,1,Not very interested,0
35 to 44 years,Female,Married,Post-secondary diploma,1,Very interested,0
65 to 74 years,Female,Married,Post-secondary diploma,1,Not at all interested,0
25 to 34 years,Male,Others,Post-secondary diploma,3,Not very interested,0
55 to 64 years,Female,Married,Post-secondary diploma,1,Very interested,0
65 to 74 years,Male,Married,University degree,1,Somewhat interested,0
75 years and over,Female,Married,University degree,1,Very interested,1
65 to 74 years,Male,Others,University degree,1,Somewhat interested,0
45 to 54 years,Female,Married,University degree,1,Somewhat interested,1
65 to 74 years,Male,Married,Post-secondary diploma,1,Very interested,0
25 to 34 years,Female,Others,University degree,1,Not very interested,0
25 to 34 years,Female,Married,University degree,1,Somewhat interested,0
25 to 34 years,Male,Others,Less than High School,2,Somewhat interested,0
65 to 74 years,Male,Married,Graduated from High School,1,Somewhat interested,1
25 to 34 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Male,Others,Less than High School,2,Not at all interested,0
75 years and over,Female,Others,University degree,1,Somewhat interested,0
15 to 24 years,Female,Others,Post-secondary diploma,3,Not at all interested,0
65 to 74 years,Male,Married,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Female,Others,University degree,1,Somewhat interested,1
25 to 34 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Female,Others,Graduated from High School,1,Not at all interested,0
35 to 44 years,Female,Married,University degree,1,Very interested,1
25 to 34 years,Female,Married,University degree,1,Very interested,0
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
65 to 74 years,Male,Married,University degree,1,Somewhat interested,0
45 to 54 years,Male,Married,Post-secondary diploma,1,Very interested,0
25 to 34 years,Female,Married,University degree,1,Somewhat interested,1
35 to 44 years,Male,Others,University degree,2,Not very interested,0
55 to 64 years,Male,Married,Post-secondary diploma,1,Very interested,0
45 to 54 years,Female,Others,Graduated from High School,2,Not very interested,0
55 to 64 years,Female,Married,University degree,2,Not very interested,0
55 to 64 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Male,Others,Graduated from High School,1,Very interested,0
15 to 24 years,Female,Others,Post-secondary diploma,3,Not at all interested,0
55 to 64 years,Female,Married,Graduated from High School,1,Somewhat interested,1
45 to 54 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
65 to 74 years,Male,Married,University degree,1,Very interested,1
75 years and over,Male,Married,University degree,1,Very interested,0
45 to 54 years,Male,Married,Graduated from High School,1,Somewhat interested,0
55 to 64 years,Female,Others,University degree,1,Somewhat interested,0
55 to 64 years,Male,Married,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Female,Married,University degree,1,Somewhat interested,0
65 to 74 years,Female,Married,University degree,1,Somewhat interested,0
55 to 64 years,Male,Married,University degree,1,Very interested,0
55 to 64 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
15 to 24 years,Female,Married,Post-secondary diploma,2,Somewhat interested,0
55 to 64 years,Male,Others,Graduated from High School,1,Not very interested,0
65 to 74 years,Female,Married,Graduated from High School,2,Somewhat interested,0
45 to 54 years,Female,Married,Graduated from High School,1,Very interested,0
35 to 44 years,Female,Others,Post-secondary diploma,1,Not at all interested,0
55 to 64 years,Female,Others,Post-secondary diploma,2,Not at all interested,0
45 to 54 years,Male,Married,University degree,1,Very interested,1
15 to 24 years,Female,Others,Graduated from High School,1,Not very interested,0
35 to 44 years,Male,Married,University degree,1,Somewhat interested,0
55 to 64 years,Female,Married,Graduated from High School,1,Not very interested,0
35 to 44 years,Female,Others,University degree,1,Somewhat interested,1
25 to 34 years,Male,Others,Post-secondary diploma,3,Not at all interested,1
35 to 44 years,Female,Others,Post-secondary diploma,2,Not very interested,0
55 to 64 years,Female,Married,Graduated from High School,1,Not very interested,0
15 to 24 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
45 to 54 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Male,Others,University degree,1,Very interested,0
25 to 34 years,Female,Others,University degree,1,Somewhat interested,0
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Male,Married,University degree,1,Somewhat interested,0
65 to 74 years,Female,Others,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Male,Married,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Male,Married,Post-secondary diploma,1,Very interested,0
25 to 34 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Female,Others,Graduated from High School,1,Somewhat interested,1
55 to 64 years,Female,Married,Graduated from High School,1,Not at all interested,0
55 to 64 years,Male,Others,University degree,1,Somewhat interested,1
25 to 34 years,Female,Others,Post-secondary diploma,2,Not at all interested,0
75 years and over,Male,Married,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Female,Married,University degree,2,Somewhat interested,0
35 to 44 years,Female,Married,Post-secondary diploma,2,Not very interested,0
65 to 74 years,Female,Married,University degree,1,Very interested,1
25 to 34 years,Female,Others,Graduated from High School,1,Not at all interested,0
55 to 64 years,Female,Married,Graduated from High School,1,Somewhat interested,1
55 to 64 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
65 to 74 years,Female,Married,University degree,1,Not at all interested,1
55 to 64 years,Male,Married,University degree,1,Somewhat interested,1
25 to 34 years,Female,Others,Graduated from High School,2,Not at all interested,0
65 to 74 years,Male,Married,University degree,2,Very interested,0
55 to 64 years,Male,Others,Less than High School,1,Somewhat interested,1
65 to 74 years,Female,Married,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Female,Married,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Female,Married,Post-secondary diploma,1,Not very interested,0
55 to 64 years,Female,Married,University degree,1,Very interested,0
35 to 44 years,Female,Married,University degree,1,Not very interested,1
45 to 54 years,Female,Others,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Female,Married,Graduated from High School,1,Very interested,0
45 to 54 years,Female,Others,Post-secondary diploma,2,Not very interested,0
25 to 34 years,Female,Married,Graduated from High School,1,Somewhat interested,0
35 to 44 years,Female,Married,Post-secondary diploma,3,Not at all interested,0
55 to 64 years,Female,Married,Graduated from High School,1,Not very interested,1
15 to 24 years,Female,Others,University degree,1,Very interested,0
65 to 74 years,Male,Married,University degree,1,Somewhat interested,0
55 to 64 years,Female,Married,University degree,1,Somewhat interested,1
35 to 44 years,Female,Others,Graduated from High School,1,Not very interested,1
75 years and over,Male,Married,Post-secondary diploma,1,Not very interested,0
65 to 74 years,Male,Married,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Male,Others,Graduated from High School,1,Not very interested,0
25 to 34 years,Female,Others,University degree,1,Very interested,0
35 to 44 years,Female,Married,Graduated from High School,1,Somewhat interested,0
35 to 44 years,Female,Others,University degree,1,Very interested,1
65 to 74 years,Female,Others,Graduated from High School,1,Very interested,0
55 to 64 years,Female,Married,University degree,1,Not very interested,1
25 to 34 years,Female,Others,University degree,1,Not at all interested,1
55 to 64 years,Female,Married,University degree,1,Not at all interested,0
75 years and over,Female,Married,University degree,1,Very interested,1
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Female,Married,Post-secondary diploma,2,Somewhat interested,0
55 to 64 years,Male,Married,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
55 to 64 years,Female,Married,University degree,1,Somewhat interested,0
15 to 24 years,Female,Others,University degree,1,Not very interested,0
45 to 54 years,Female,Others,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Male,Married,Post-secondary diploma,1,Very interested,0
35 to 44 years,Male,Others,Graduated from High School,2,Very interested,0
45 to 54 years,Female,Others,Post-secondary diploma,2,Not at all interested,0
35 to 44 years,Male,Others,Post-secondary diploma,2,Not very interested,0
35 to 44 years,Female,Married,Post-secondary diploma,1,Very interested,0
55 to 64 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
65 to 74 years,Female,Married,University degree,1,Very interested,0
75 years and over,Male,Married,University degree,1,Somewhat interested,0
45 to 54 years,Female,Others,Graduated from High School,1,Somewhat interested,0
55 to 64 years,Male,Married,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Female,Married,University degree,1,Somewhat interested,0
35 to 44 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Male,Others,University degree,1,Very interested,1
15 to 24 years,Male,Others,Post-secondary diploma,1,Very interested,0
65 to 74 years,Male,Others,Post-secondary diploma,1,Not very interested,0
35 to 44 years,Female,Others,Post-secondary diploma,1,Not very interested,0
75 years and over,Female,Others,Graduated from High School,1,Very interested,0
65 to 74 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Female,Others,University degree,1,Not at all interested,1
65 to 74 years,Male,Married,Graduated from High School,1,Somewhat interested,0
55 to 64 years,Female,Others,University degree,1,Somewhat interested,1
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,1
35 to 44 years,Female,Married,University degree,1,Somewhat interested,0
75 years and over,Male,Married,University degree,1,Somewhat interested,0
35 to 44 years,Female,Married,Post-secondary diploma,1,Very interested,1
65 to 74 years,Male,Married,University degree,1,Very interested,1
65 to 74 years,Male,Married,University degree,1,Very interested,0
55 to 64 years,Female,Others,Graduated from High School,1,Not very interested,0
55 to 64 years,Male,Married,Graduated from High School,1,Somewhat interested,1
35 to 44 years,Female,Married,Post-secondary diploma,1,Somewhat interested,1
25 to 34 years,Male,Others,University degree,1,Somewhat interested,1
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Male,Married,University degree,1,Very interested,0
65 to 74 years,Female,Married,Graduated from High School,1,Somewhat interested,0
55 to 64 years,Male,Others,University degree,1,Very interested,1
65 to 74 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Male,Married,Graduated from High School,1,Somewhat interested,1
65 to 74 years,Male,Married,Post-secondary diploma,1,Very interested,0
45 to 54 years,Female,Others,University degree,1,Somewhat interested,1
45 to 54 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Male,Others,Post-secondary diploma,3,Not very interested,0
35 to 44 years,Male,Married,Post-secondary diploma,2,Somewhat interested,0
65 to 74 years,Female,Married,Less than High School,1,Somewhat interested,0
15 to 24 years,Male,Others,Graduated from High School,2,Somewhat interested,1
15 to 24 years,Female,Others,Less than High School,3,Not at all interested,0
55 to 64 years,Female,Others,University degree,1,Very interested,1
55 to 64 years,Female,Married,Post-secondary diploma,1,Somewhat interested,1
55 to 64 years,Female,Others,Graduated from High School,2,Somewhat interested,0
25 to 34 years,Male,Others,Graduated from High School,1,Somewhat interested,0
25 to 34 years,Male,Others,University degree,2,Somewhat interested,0
25 to 34 years,Female,Others,Graduated from High School,1,Somewhat interested,0
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
55 to 64 years,Male,Others,Graduated from High School,2,Somewhat interested,0
45 to 54 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Female,Married,Graduated from High School,2,Not very interested,1
25 to 34 years,Male,Married,University degree,2,Somewhat interested,0
55 to 64 years,Male,Others,Post-secondary diploma,1,Very interested,0
35 to 44 years,Female,Others,University degree,1,Somewhat interested,1
45 to 54 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
45 to 54 years,Female,Married,Post-secondary diploma,1,Not very interested,0
35 to 44 years,Female,Others,University degree,1,Somewhat interested,0
55 to 64 years,Male,Others,Graduated from High School,1,Somewhat interested,1
55 to 64 years,Male,Others,University degree,1,Very interested,0
15 to 24 years,Female,Others,Graduated from High School,2,Not very interested,0
55 to 64 years,Female,Married,Post-secondary diploma,1,Not very interested,0
35 to 44 years,Female,Married,University degree,1,Somewhat interested,0
35 to 44 years,Female,Others,Post-secondary diploma,2,Not very interested,0
65 to 74 years,Male,Others,University degree,1,Somewhat interested,0
35 to 44 years,Male,Married,Post-secondary diploma,2,Somewhat interested,0
55 to 64 years,Female,Married,University degree,1,Somewhat interested,0
35 to 44 years,Female,Married,Post-secondary diploma,1,Not very interested,0
25 to 34 years,Female,Married,University degree,1,Somewhat interested,0
25 to 34 years,Female,Others,Graduated from High School,3,Not at all interested,0
55 to 64 years,Male,Married,Graduated from High School,2,Somewhat interested,1
45 to 54 years,Female,Married,Graduated from High School,1,Somewhat interested,0
35 to 44 years,Male,Others,Post-secondary diploma,3,Not very interested,0
65 to 74 years,Male,Married,University degree,1,Very interested,1
35 to 44 years,Female,Others,Graduated from High School,3,Not very interested,0
35 to 44 years,Male,Others,Post-secondary diploma,3,Not at all interested,0
15 to 24 years,Male,Others,Graduated from High School,1,Not very interested,0
45 to 54 years,Male,Others,Post-secondary diploma,1,Not at all interested,1
45 to 54 years,Female,Others,University degree,2,Not very interested,0
25 to 34 years,Female,Others,University degree,1,Somewhat interested,1
65 to 74 years,Female,Others,University degree,2,Somewhat interested,1
45 to 54 years,Male,Others,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Female,Married,Post-secondary diploma,2,Somewhat interested,0
65 to 74 years,Female,Married,Post-secondary diploma,1,Not very interested,1
35 to 44 years,Female,Others,University degree,1,Somewhat interested,0
25 to 34 years,Male,Others,University degree,2,Not very interested,1
25 to 34 years,Female,Others,Post-secondary diploma,2,Somewhat interested,0
25 to 34 years,Female,Married,Post-secondary diploma,1,Somewhat interested,1
35 to 44 years,Female,Married,University degree,1,Very interested,0
25 to 34 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Female,Married,Graduated from High School,1,Somewhat interested,1
65 to 74 years,Female,Married,Graduated from High School,1,Somewhat interested,1
55 to 64 years,Female,Others,Graduated from High School,3,Not at all interested,0
35 to 44 years,Female,Married,University degree,1,Not very interested,1
45 to 54 years,Female,Others,University degree,1,Somewhat interested,0
35 to 44 years,Female,Married,Post-secondary diploma,1,Somewhat interested,1
25 to 34 years,Female,Married,University degree,2,Somewhat interested,1
45 to 54 years,Male,Married,University degree,1,Somewhat interested,1
55 to 64 years,Female,Married,University degree,2,Very interested,0
35 to 44 years,Female,Others,Less than High School,1,Not very interested,0
45 to 54 years,Male,Others,University degree,1,Somewhat interested,0
15 to 24 years,Female,Others,Graduated from High School,2,Not very interested,0
75 years and over,Male,Others,Graduated from High School,1,Not very interested,1
15 to 24 years,Female,Others,Post-secondary diploma,2,Very interested,0
25 to 34 years,Female,Others,Post-secondary diploma,1,Not very interested,0
55 to 64 years,Female,Married,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Female,Married,University degree,2,Somewhat interested,1
45 to 54 years,Male,Others,University degree,1,Somewhat interested,0
45 to 54 years,Female,Married,University degree,1,Not very interested,0
25 to 34 years,Male,Others,University degree,1,Somewhat interested,1
15 to 24 years,Male,Others,Post-secondary diploma,2,Not very interested,0
55 to 64 years,Female,Married,Post-secondary diploma,3,Not at all interested,0
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Female,Others,Less than High School,2,Not very interested,1
45 to 54 years,Female,Others,University degree,1,Somewhat interested,0
35 to 44 years,Female,Others,University degree,1,Very interested,1
55 to 64 years,Male,Married,University degree,1,Very interested,0
65 to 74 years,Female,Others,Graduated from High School,2,Somewhat interested,0
75 years and over,Female,Others,Less than High School,3,Somewhat interested,0
25 to 34 years,Male,Others,University degree,2,Not very interested,1
65 to 74 years,Male,Others,Graduated from High School,1,Somewhat interested,1
25 to 34 years,Male,Others,Post-secondary diploma,1,Not very interested,0
25 to 34 years,Male,Married,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Male,Married,Post-secondary diploma,1,Very interested,0
65 to 74 years,Female,Married,Less than High School,2,Somewhat interested,0
25 to 34 years,Male,Others,Graduated from High School,2,Not at all interested,1
65 to 74 years,Male,Married,Graduated from High School,1,Very interested,0
25 to 34 years,Male,Others,University degree,2,Somewhat interested,1
25 to 34 years,Male,Others,Less than High School,2,Somewhat interested,0
65 to 74 years,Female,Married,Post-secondary diploma,1,Somewhat interested,1
25 to 34 years,Male,Others,Post-secondary diploma,1,Not very interested,0
25 to 34 years,Male,Married,University degree,1,Somewhat interested,0
25 to 34 years,Male,Others,University degree,1,Not very interested,1
25 to 34 years,Female,Others,University degree,1,Very interested,0
65 to 74 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
65 to 74 years,Male,Others,University degree,1,Very interested,0
65 to 74 years,Female,Married,Post-secondary diploma,2,Somewhat interested,0
65 to 74 years,Male,Married,Post-secondary diploma,3,Not very interested,1
65 to 74 years,Female,Others,Graduated from High School,1,Not at all interested,0
65 to 74 years,Female,Married,Graduated from High School,1,Not very interested,0
65 to 74 years,Male,Others,Graduated from High School,2,Somewhat interested,1
65 to 74 years,Female,Others,Graduated from High School,1,Very interested,0
65 to 74 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
45 to 54 years,Female,Married,Graduated from High School,1,Not very interested,0
45 to 54 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Male,Others,Post-secondary diploma,1,Somewhat interested,0
15 to 24 years,Female,Others,Less than High School,2,Not very interested,1
45 to 54 years,Female,Others,University degree,1,Somewhat interested,1
65 to 74 years,Female,Others,Less than High School,1,Very interested,0
35 to 44 years,Female,Married,University degree,3,Not very interested,0
25 to 34 years,Female,Married,University degree,1,Somewhat interested,0
45 to 54 years,Female,Married,University degree,1,Somewhat interested,1
15 to 24 years,Male,Others,Graduated from High School,2,Somewhat interested,1
45 to 54 years,Female,Married,Graduated from High School,1,Not very interested,0
25 to 34 years,Female,Married,Post-secondary diploma,1,Not at all interested,0
55 to 64 years,Female,Others,Post-secondary diploma,3,Not at all interested,0
45 to 54 years,Female,Married,Post-secondary diploma,1,Not very interested,1
25 to 34 years,Male,Others,Graduated from High School,3,Not at all interested,0
15 to 24 years,Male,Others,University degree,1,Not very interested,1
25 to 34 years,Female,Others,University degree,2,Not very interested,1
35 to 44 years,Female,Others,Graduated from High School,2,Not at all interested,0
25 to 34 years,Female,Others,Less than High School,3,Not very interested,0
45 to 54 years,Female,Married,Post-secondary diploma,1,Very interested,1
35 to 44 years,Male,Married,Graduated from High School,1,Somewhat interested,1
45 to 54 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Male,Married,Graduated from High School,1,Very interested,0
65 to 74 years,Female,Others,Graduated from High School,2,Very interested,0
35 to 44 years,Female,Married,University degree,1,Somewhat interested,0
25 to 34 years,Female,Others,Post-secondary diploma,3,Not very interested,0
35 to 44 years,Male,Married,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Female,Married,University degree,1,Very interested,1
35 to 44 years,Female,Married,University degree,1,Somewhat interested,1
65 to 74 years,Female,Married,Graduated from High School,1,Somewhat interested,1
45 to 54 years,Female,Married,Graduated from High School,1,Not very interested,0
65 to 74 years,Female,Others,Post-secondary diploma,1,Not very interested,1
65 to 74 years,Male,Others,Graduated from High School,1,Somewhat interested,0
35 to 44 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
35 to 44 years,Male,Others,University degree,1,Somewhat interested,0
75 years and over,Female,Married,Graduated from High School,1,Somewhat interested,0
75 years and over,Male,Married,University degree,1,Not at all interested,0
45 to 54 years,Female,Others,University degree,1,Not very interested,1
45 to 54 years,Female,Married,Graduated from High School,1,Somewhat interested,0
15 to 24 years,Female,Married,Graduated from High School,2,Somewhat interested,0
65 to 74 years,Male,Married,University degree,1,Very interested,0
25 to 34 years,Male,Married,University degree,1,Very interested,1
75 years and over,Male,Married,Graduated from High School,1,Very interested,0
45 to 54 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
25 to 34 years,Female,Others,University degree,1,Somewhat interested,0
55 to 64 years,Male,Married,Post-secondary diploma,1,Somewhat interested,0
65 to 74 years,Male,Married,Post-secondary diploma,1,Not at all interested,1
35 to 44 years,Female,Married,Post-secondary diploma,1,Very interested,0
65 to 74 years,Female,Others,Graduated from High School,1,Not very interested,1
65 to 74 years,Female,Married,University degree,1,Somewhat interested,1
35 to 44 years,Female,Others,Post-secondary diploma,2,Not very interested,0
65 to 74 years,Female,Others,University degree,2,Somewhat interested,0
25 to 34 years,Female,Others,Graduated from High School,2,Not very interested,0
15 to 24 years,Female,Others,Post-secondary diploma,1,Somewhat interested,0
65 to 74 years,Male,Married,Graduated from High School,1,Somewhat interested,0
75 years and over,Male,Married,Graduated from High School,1,Somewhat interested,0
25 to 34 years,Female,Others,University degree,1,Not very interested,1
35 to 44 years,Female,Married,Less than High School,2,Not very interested,0
25 to 34 years,Female,Others,University degree,1,Somewhat interested,1
45 to 54 years,Male,Married,University degree,1,Somewhat interested,0
35 to 44 years,Female,Others,Post-secondary diploma,1,Not very interested,0
45 to 54 years,Female,Others,University degree,1,Somewhat interested,1
35 to 44 years,Female,Married,Less than High School,1,Very interested,0
65 to 74 years,Male,Married,Post-secondary diploma,1,Somewhat interested,1
65 to 74 years,Female,Others,Post-secondary diploma,2,Somewhat interested,0
35 to 44 years,Male,Others,Less than High School,2,Somewhat interested,0
75 years and over,Female,Married,University degree,1,Somewhat interested,1
65 to 74 years,Female,Married,University degree,1,Somewhat interested,0
55 to 64 years,Male,Married,Post-secondary diploma,3,Not very interested,0
65 to 74 years,Female,Others,University degree,1,Somewhat interested,1
35 to 44 years,Female,Others,Graduated from High School,1,Somewhat interested,1
25 to 34 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
65 to 74 years,Female,Others,Graduated from High School,2,Not at all interested,0
25 to 34 years,Female,Others,University degree,1,Somewhat interested,1
25 to 34 years,Female,Married,Post-secondary diploma,1,Very interested,0
45 to 54 years,Male,Others,Graduated from High School,1,Not at all interested,0
55 to 64 years,Female,Others,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Male,Others,University degree,1,Somewhat interested,1
65 to 74 years,Female,Others,Graduated from High School,1,Very interested,0
65 to 74 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
15 to 24 years,Female,Others,University degree,1,Very interested,1
75 years and over,Female,Married,University degree,1,Very interested,0
25 to 34 years,Male,Others,Graduated from High School,3,Not very interested,0
55 to 64 years,Male,Others,Post-secondary diploma,2,Not at all interested,1
55 to 64 years,Male,Others,Less than High School,2,Somewhat interested,1
55 to 64 years,Female,Others,Post-secondary diploma,1,Not very interested,1
25 to 34 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
65 to 74 years,Male,Others,Post-secondary diploma,1,Very interested,0
45 to 54 years,Female,Married,Graduated from High School,1,Somewhat interested,0
65 to 74 years,Male,Married,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Female,Married,Post-secondary diploma,1,Somewhat interested,0
45 to 54 years,Male,Others,Less than High School,1,Somewhat interested,1
55 to 64 years,Female,Others,Post-secondary diploma,1,Somewhat interested,1
55 to 64 years,Male,Others,Less than High School,1,Somewhat interested,0
35 to 44 years,Female,Married,University degree,1,Somewhat interested,0
55 to 64 years,Male,Others,University degree,1,Very interested,0
65 to 74 years,Male,Married,Graduated from High School,1,Not at all interested,0
15 to 24 years,Male,Others,Graduated from High School,1,Very interested,0
35 to 44 years,Female,Others,Post-secondary diploma,2,Somewhat interested,1
45 to 54 years,Female,Others,Post-secondary diploma,1,Not very interested,0
65 to 74 years,Male,Married,University degree,1,Very interested,1
55 to 64 years,Female,Others,University degree,1,Somewhat interested,0
15 to 24 years,Female,Others,Post-secondary diploma,1,Very interested,1
25 to 34 years,Female,Others,Graduated from High School,2,Somewhat interested,1
65 to 74 years,Male,Married,University degree,1,Very interested,0
25 to 34 years,Female,Others,University degree,1,Not very interested,0
35 to 44 years,Male,Others,Post-secondary diploma,2,Not very interested,0
65 to 74 years,Male,Married,Graduated from High School,2,Not very interested,0
65 to 74 years,Male,Married,Post-secondary diploma,1,Somewhat interested,1
15 to 24 years,Female,Others,Graduated from High School,2,Not very interested,0
35 to 44 years,Female,Others,Graduated from High School,1,Not at all interested,0
55 to 64 years,Female,Others,University degree,1,Somewhat interested,0
55 to 64 years,Female,Married,Post-secondary diploma,1,Not at all interested,1
55 to 64 years,Male,Others,Graduated from High School,1,Somewhat interested,0
45 to 54 years,Male,Others,University degree,1,Somewhat interested,0
55 to 64 years,Male,Married,University degree,1,Somewhat interested,1
45 to 54 years,Female,Married,University degree,1,Very interested,0
25 to 34 years,Male,Others,Graduated from High School,3,Not very interested,0
15 to 24 years,Female,Others,Graduated from High School,1,Not very interested,0
35 to 44 years,Female,Others,Post-secondary diploma,3,Not at all interested,0
45 to 54 years,Female,Others,Graduated from High School,1,Not very interested,0
65 to 74 years,Male,Married,Graduated from High School,1,Not very interested,0
15 to 24 years,Male,Others,University degree,1,Somewhat interested,0
